Date,Model_Phase,Earned_Income,Earned_Income_Tax,Employer_Super_Contrib,Super_Balance_Contrib,Super_Fees,Super_Balance_Value,Super_Drawdown,Expenses,Loan_Period,Loan_Begin_Balance,Loan_Payment,Loan_Interest,Disposable_Income,Amount_Saved,Savings_Bal,Savings_Val
1/01/2020,1,4166.666667,649.7229167,395.8333333,35395.83333,8.333333333,35395.83333,0,2413.857385,2,349319.24,1847.43,1166.67,-94.62071827,-23.65517957,4976.34482,4976.34482
1/02/2020,1,4166.666667,649.7229167,395.8333333,35718.44097,73.22569444,35897.03318,0,2310.865792,3,348636.21,1847.43,1164.4,8.370874744,2.092718686,4978.437539,4990.883633
1/03/2020,1,4166.666667,649.7229167,395.8333333,36040.45716,73.81714178,36400.14462,0,2174.09662,4,347950.9,1847.43,1162.12,145.1400467,36.28501166,5014.722551,5039.736566
1/04/2020,1,4166.666667,649.7229167,395.8333333,36361.88299,74.4075048,36905.1783,0,2361.49558,5,347263.31,1847.43,1159.84,-42.25891334,-10.56472834,5004.157822,5041.744768
1/05/2020,1,4166.666667,649.7229167,395.8333333,36682.71954,74.99678549,37412.14492,0,2313.142263,6,346573.42,1847.43,1157.54,6.094403278,1.523600819,5005.681423,5055.876539
1/06/2020,1,4166.666667,649.7229167,395.8333333,37002.96789,75.58498582,37921.05523,0,2355.327177,7,345881.23,1847.43,1155.24,-36.09051001,-9.022627504,4996.658796,5059.471047
1/07/2020,1,4166.666667,649.7229167,395.8333333,37322.62911,76.17210779,38431.92004,0,2192.441131,8,345186.74,1847.43,1152.94,126.7955352,31.69888381,5028.35768,5103.897855
1/08/2020,1,4166.666667,649.7229167,395.8333333,37641.70429,76.75815337,38944.7502,0,2486.72834,9,344489.93,1847.43,1150.62,-167.491673,-41.87291826,4986.484761,5074.679999
1/09/2020,1,4166.666667,649.7229167,395.8333333,37960.1945,77.34312454,39459.55661,0,1894.123943,10,343790.8,1847.43,1148.3,425.1127239,106.278181,5092.762942,5193.910576
1/10/2020,1,4166.666667,649.7229167,395.8333333,38278.10081,77.92702325,39976.35023,0,2425.13803,11,343089.34,1847.43,1145.97,-105.9013635,-26.47534086,5066.287601,5180.353823
1/11/2020,1,4166.666667,649.7229167,395.8333333,38595.42429,78.50985149,40495.14208,0,2203.537201,12,342385.54,1847.43,1143.63,115.6994652,28.9248663,5095.212468,5222.301886
1/12/2020,1,4166.666667,649.7229167,395.8333333,38912.16602,79.09161121,41015.94322,0,2000.317248,13,341679.4,1847.43,1141.29,318.9194186,79.72985465,5174.942322,5315.28682
1/01/2021,1,4166.666667,649.7229167,395.8333333,39228.32704,79.67230436,41538.76477,0,1648.890037,14,340970.9,1847.43,1138.93,670.3466294,167.5866574,5342.52898,5496.580661
1/02/2021,1,4166.666667,649.7229167,395.8333333,39543.90845,80.25193292,42063.6179,0,2049.865465,15,340260.04,1847.43,1136.57,269.371202,67.34280049,5409.87178,5577.83327
1/03/2021,1,4166.666667,649.7229167,395.8333333,39858.91128,80.83049882,42590.51384,0,2423.474513,16,339546.81,1847.43,1134.2,-104.2378467,-26.05946168,5383.812319,5565.653243
1/04/2021,1,4166.666667,649.7229167,395.8333333,40173.33661,81.40800401,43119.46387,0,2156.271105,17,338831.2,1847.43,1131.82,162.9655613,40.74139033,5424.553709,5620.41062
1/05/2021,1,4166.666667,649.7229167,395.8333333,40487.18549,81.98445045,43650.47931,0,1597.414904,18,338113.21,1847.43,1129.44,721.8217623,180.4554406,5605.009149,5815.368226
1/06/2021,1,4166.666667,649.7229167,395.8333333,40800.45899,82.55984007,44183.57157,0,1913.055001,19,337392.82,1847.43,1127.04,406.1816657,101.5454164,5706.554566,5931.705926
1/07/2021,1,4166.666667,649.7229167,395.8333333,41113.15814,83.13417481,44718.75208,0,1563.257398,20,336670.03,1847.43,1124.64,755.9792688,188.9948172,5895.549383,6136.002495
1/08/2021,1,4166.666667,649.7229167,395.8333333,41425.28402,83.7074566,45256.03235,0,2482.479673,21,335944.83,1847.43,1122.23,-163.243006,-40.81075151,5854.738632,6110.429723
1/09/2021,1,4166.666667,649.7229167,395.8333333,41736.83767,84.27968737,45795.42393,0,2237.92975,22,335217.22,1847.43,1119.82,81.30691658,20.32672914,5875.065361,6146.083343
1/10/2021,1,4166.666667,649.7229167,395.8333333,42047.82013,84.85086906,46336.93842,0,1809.094645,23,334487.18,1847.43,1117.39,510.142022,127.5355055,6002.600866,6289.302896
1/11/2021,1,4166.666667,649.7229167,395.8333333,42358.23246,85.42100357,46880.58751,0,2246.265209,24,333754.71,1847.43,1114.96,72.97145736,18.24286434,6020.843731,6323.314625
1/12/2021,1,4166.666667,649.7229167,395.8333333,42668.0757,85.99009284,47426.3829,0,2160.441213,25,333019.8,1847.43,1112.52,158.7954533,39.69886332,6060.542594,6378.921022
1/01/2022,1,4166.666667,649.7229167,395.8333333,42977.3509,86.55813879,47974.33639,0,1951.214043,26,332282.44,1847.43,1110.07,368.0226238,92.00565594,6152.54825,6487.103994
1/02/2022,1,4166.666667,649.7229167,395.8333333,43286.05909,87.12514331,48524.4598,0,2452.175267,27,331542.62,1847.43,1107.61,-132.9386002,-33.23465004,6119.3136,6470.004018
1/03/2022,1,4166.666667,649.7229167,395.8333333,43594.20131,87.69110832,49076.76503,0,2469.345695,28,330800.33,1847.43,1105.14,-150.1090285,-37.52725713,6081.786343,6448.557952
1/04/2022,1,4166.666667,649.7229167,395.8333333,43901.77861,88.25603574,49631.26404,0,2289.039232,29,330055.57,1847.43,1102.67,30.19743456,7.549358639,6089.335701,6472.247579
1/05/2022,1,4166.666667,649.7229167,395.8333333,44208.79201,88.81992745,50187.96884,0,1950.098873,30,329308.33,1847.43,1100.19,369.1377939,92.28444848,6181.62015,6580.943358
1/06/2022,1,4166.666667,649.7229167,395.8333333,44515.24256,89.38278536,50746.89148,0,1533.940113,31,328558.59,1847.43,1097.69,785.2965537,196.3241384,6377.944288,6794.210665
1/07/2022,1,4166.666667,649.7229167,395.8333333,44821.13128,89.94461136,51308.0441,0,1922.991406,32,327806.36,1847.43,1095.2,396.245261,99.06131525,6477.005603,6910.50516
1/08/2022,1,4166.666667,649.7229167,395.8333333,45126.45921,90.50540735,51871.43889,0,2182.648151,33,327051.62,1847.43,1092.69,136.5885161,34.14712903,6511.152732,6962.01392
1/09/2022,1,4166.666667,649.7229167,395.8333333,45431.22737,91.06517522,52437.08808,0,1699.445381,34,326294.36,1847.43,1090.17,619.7912859,154.9478215,6666.100554,7134.754146
